
      Sorbonne University
      Washington University in Saint Louis
      University of Texas at Austin


           ###    ##    ##    ###
          #       # #  # #    #  ##
         #        #  ##  #    #    #
          ###     #      #    #    #
            #     #      #    #    #
           #      #      #    #  ##
        ###       #      #    ###


      ######################################
      #                                    #
      # TINKER-HP SMD MODULE : VERSION 1.2 #
      #                                    #
      ######################################



   *************** WARNING ISSUES ***************
   No WARNING was observed
   => all parameters seem to be good :D

     ^  ^
      --
     (^^)\________
     (__)\        )\/\...SMD
         ||-----w |
         ||      ||

   **********************************************


   ********************************************
   ********** Initial SMD parameters **********
   ********************************************


   Type of SMD used : Constant force SMD

   Integrator used : BAOABRESPA1

   Frequency for the printing :        100
   SMDFor =  5.000 kcal/mol.A^2

   ************* COM AND DIRECTION VECTOR DEFINITION *************
   Number of SMD atoms considered : 
   Atoms ID :   2604
   Atoms ID :   2605
   Atoms ID :   2606
   Atoms ID :   2607
   Atoms ID :   2608
   Atoms ID :   2609
   Atoms ID :   2610
   Atoms ID :   2611
   Atoms ID :   2612
   Atoms ID :   2613
   Atoms ID :   2614
   Atoms ID :   2615
   Initial direction vector read for the SMD : 
       -4.834   5.513  -2.323
   ***************************************************************

   ********** NORMALISATION OF THE SMD VECTOR **********
   Normalization of the motion directory vector done, factor =  0.361
   Normalized motion directory vector: 
       -0.628   0.717  -0.302
   *****************************************************

SMDinfo   Step         xCOM      yCOM      zCOM
SMD         0.00000   -7.8960    5.4129    1.1557
SMD         1.00000   -8.8193    5.5776    1.0898
SMD         2.00000   -8.0670    6.0983    1.3116
SMD         3.00000   -9.3755    6.4183    1.1784
SMD         4.00000   -9.1921    6.1433    1.3416
SMD         5.00000   -8.3843    5.9092    1.3079
SMD         6.00000   -8.3265    6.3774    1.1210
SMD         7.00000   -8.1812    6.3866    0.7696
SMD         8.00000   -8.4221    6.4186    1.0580
SMD         9.00000   -8.5719    6.1402    0.9345
SMD        10.00000   -8.8416    6.1523    0.9617
SMD        11.00000   -9.0303    6.0769    0.7909
SMD        12.00000   -8.7668    5.8774    1.1557
SMD        13.00000   -8.8819    6.1205    0.5396
SMD        14.00000   -8.5140    5.8868    0.7448
SMD        15.00000   -8.4501    6.3121    1.0377
SMD        16.00000   -8.7617    5.5655    0.5142
SMD        17.00000   -8.1309    5.7630    0.6485
SMD        18.00000   -8.6629    6.1721    1.3568
SMD        19.00000   -8.3300    6.3351    0.7999
SMD        20.00000   -7.9278    6.5168    0.8346
SMD        21.00000   -8.3954    7.0141    0.2479
SMD        22.00000   -8.0417    6.5594    0.5799
SMD        23.00000   -8.6014    6.1287    0.5072
SMD        24.00000   -8.9865    5.8686   -0.1124
SMD        25.00000   -9.2691    5.0670    0.2916
SMD        26.00000   -8.6957    5.2933   -0.1915
SMD        27.00000   -9.8357    5.5385    0.2498
SMD        28.00000  -10.1292    5.7403   -0.5417
SMD        29.00000   -9.7120    5.4619   -1.0180
SMD        30.00000   -9.8969    5.1691   -0.2644
SMD        31.00000   -9.6840    5.2172    0.1187
SMD        32.00000   -9.6419    5.5368   -0.5943
SMD        33.00000   -9.5403    5.2739   -0.0782
SMD        34.00000   -9.0289    5.5510   -0.7204
SMD        35.00000   -9.0620    5.4447   -0.0538
SMD        36.00000   -9.1400    5.9085   -0.8452
SMD        37.00000   -9.2399    5.6439    0.0299
SMD        38.00000   -9.5098    6.1533   -0.3987
SMD        39.00000   -9.2967    5.6221    0.3298
SMD        40.00000   -9.2239    5.5493   -0.3341
SMD        41.00000   -9.6644    5.7854   -0.0692
SMD        42.00000   -8.5791    6.1153    0.3004
SMD        43.00000   -8.6718    5.9859    0.9239
SMD        44.00000   -8.1663    5.9702    0.7345
SMD        45.00000   -7.9985    6.0897    0.7221
SMD        46.00000   -8.3354    5.9061    0.5113
SMD        47.00000   -7.8685    6.2387    0.5586
SMD        48.00000   -7.7586    6.2584    1.2767
SMD        49.00000   -8.1540    6.2429    1.0323
SMD        50.00000   -8.1314    6.0922    1.0643
SMD        51.00000   -8.8432    5.7505    0.5669
SMD        52.00000   -8.2855    6.0788    0.4572
SMD        53.00000   -8.6667    6.0663    0.7485
